id,title,is_paid,num_subscribers,avg_rating,num_reviews,is_wishlisted,num_published_lectures,num_published_practice_tests,discount_price__amount,price_detail__amount,created_year,created_month,published_year,published_month,Rating_recent,Actual_Price
2479286,Electrical Power System Protection - Part 2,True,60,3.27778,9,False,13,0,800.0,3200,2019,7,2019,8,3,2400.0
2307794,PyTorch Deep Learning in 7 Days,True,46,3.77778,9,False,40,0,455.0,8000,2019,4,2019,4,4,7545.0
3054688,Investing in Gold & Silver,True,46,4.44444,10,False,18,0,455.0,5440,2020,4,2020,6,5,4985.0
3373588,COVID-19 Strategies: Practical Guide For Brands & Marketers,True,4151,4.44444,9,False,26,0,455.0,1600,2020,7,2020,8,4,1145.0
372918,Tips for Your Group or Team Programs,True,102,4.16667,9,False,43,0,455.0,2560,2014,12,2015,2,4,2105.0
10964,Introduction to Entrepreneurship ,True,100,3.94444,9,False,21,0,455.0,1280,2011,11,2011,12,4,825.0
863842,How to Draft Privacy policy & Terms of Use for your website,True,20,4.33333,9,False,12,0,455.0,8640,2016,5,2019,10,4,8185.0
942886,Online Business How to Attract and Land Your Dream Customers,True,88,4.88889,9,False,41,0,455.0,6080,2016,8,2016,11,5,5625.0
455582,Hospitality Property Organizational Structure - Updated 2020,True,70,4.27778,9,False,9,0,455.0,3200,2015,3,2015,5,4,2745.0
462654,KINDLE EMPIRE -Publishing to create freedom.,True,43,4.16667,9,False,19,0,455.0,8640,2015,3,2015,4,4,8185.0
288800,Writing Successful Speeches,True,339,4.11111,9,False,19,0,0.0,6080,2014,8,2016,3,4,6080.0
727896,Verbal Aikido for Ultimate Networking Success #4,True,2112,4.55556,9,False,11,0,455.0,1280,2016,1,2016,2,4,825.0
904096,MBA Admissions: The Do's and Don'ts for Non-US Students,True,1187,4.77778,9,False,12,0,455.0,1280,2016,7,2016,7,5,825.0
894526,Become a Master Salesman - Ultimate Guide to Sell Like a Pro,True,572,4.27778,9,False,24,0,455.0,5760,2016,7,2018,1,5,5305.0
1314312,Intro to Freelance Writing: Getting Started [2018],True,307,4.44444,9,False,9,0,455.0,2240,2017,8,2017,8,4,1785.0
1394410,Absolute Entrepreneurship Part 2: Funding Your Business,True,125,4.77778,9,False,44,0,455.0,1600,2017,10,2017,10,5,1145.0
590000,How to be Creative & Innovative in Business,True,1538,4.27778,9,False,121,0,455.0,1280,2015,8,2015,12,4,825.0
2388364,End overwhelm - plan your business' website like a pro,True,22,4.55556,9,False,27,0,455.0,1280,2019,5,2019,7,4,825.0
